family_id,evidence_level,scope,adjustment,interval,predefined_before_test_summary,primary_unit,decision_role,formation_time,result_informed_status,source_artifact,generator_command
E-FIXED-12,main result-informed fixed-task estimation,4 tasks x 3 metrics = 12 OCM-Asym vs RAST-GRU contrasts,Holm12 retained only as a diagnostic multiplicity summary,crossed diagnostic envelope plus design-specific max-t diagnostic envelope,no externally verifiable timestamp,matched official test engine within each fixed task; five training seeds,estimation only; cannot support confirmatory claims,after result review; local chronology only,result-informed,paper_outputs/release_v1/primary_fixed_task_estimates.csv,python scripts/analyze_fixed_benchmark_evidence.py
S-ENDPOINT-80,sensitivity analysis,4 tau x 5 epsilon x 4 tasks = 80 endpoint contrasts,one Holm family across all 80 tests,uncalibrated crossed-percentile diagnostic envelope,no,matched official test engine within each fixed task; five training seeds,sensitivity only,after result review; local chronology only,result-informed,paper_outputs/release_v1/endpoint_tolerance_sensitivity.csv,python scripts/analyze_fixed_benchmark_evidence.py
S-PERTURB-54,sensitivity analysis,2 operating points x 9 perturbation families x 3 metrics = 54 contrasts,one Holm family across all 54 tests,crossed-factor percentile diagnostic envelope,no,matched FD004 engine crossed with training and perturbation seed,normalized-space algorithmic sensitivity only,after result review; local chronology only,result-informed,paper_outputs/release_v1/normalized_perturbation_contrasts.csv,python scripts/analyze_normalized_perturbation_evidence.py
S-NORM-9,matched sensitivity control,K-means minus 3 normalization controls x 3 metrics = 9 contrasts,one Holm family across all 9 tests,uncalibrated crossed-percentile diagnostic envelope,no,matched FD004 engine within five training seeds,construction sensitivity only,after result review; local chronology only,result-informed,paper_outputs/analysis_working/multiplicity_registry.csv,python scripts/analyze_fixed_benchmark_evidence.py
S-FD002-20,exploratory protocol audit,five matched operating-point comparisons x four metrics = 20 contrasts,one Holm family across all 20 tests,uncalibrated crossed-percentile diagnostic envelope,no,matched FD002 engine within five training seeds,exploratory transfer sensitivity only,after result review; local chronology only,result-informed,paper_outputs/analysis_working/multiplicity_registry.csv,python scripts/analyze_fixed_benchmark_evidence.py
D-DUALMIXER-A12,descriptive comparator,"official-code-derived Dual-Mixer comparator family A, 12 contrasts",Holm12 in source artifact,nominal paired bootstrap interval,no,matched engine within fixed task,descriptive external-code context,after result review; local chronology only,result-informed,paper_outputs/analysis_working/multiplicity_registry.csv,python scripts/analyze_fixed_benchmark_evidence.py
D-DUALMIXER-B12,descriptive comparator,"official-code-derived Dual-Mixer comparator family B, 12 contrasts",Holm12 in source artifact,nominal paired bootstrap interval,no,matched engine within fixed task,descriptive external-code context,after result review; local chronology only,result-informed,paper_outputs/analysis_working/multiplicity_registry.csv,python scripts/analyze_fixed_benchmark_evidence.py
D-ENDPOINT-DESIGN,design diagnostic,"single, multi-endpoint, and critical-stratified checkpoint designs",none; full effects and selected epochs reported,nominal paired intervals,no,matched engine and training seed within FD002/FD004,configuration sensitivity; no decision claim,after result review; local chronology only,result-informed,paper_outputs/analysis_working/multiplicity_registry.csv,python scripts/analyze_fixed_benchmark_evidence.py
D-CHECKPOINT,design diagnostic,checkpoint-rule sensitivity contrasts,none,nominal paired intervals,no,training seed and matched engine,configuration sensitivity; no decision claim,after result review; local chronology only,result-informed,paper_outputs/analysis_working/multiplicity_registry.csv,python scripts/analyze_fixed_benchmark_evidence.py
D-ABLATION,descriptive ablation,13 FD004 removal/objective variants across five seeds,none,seed SD and descriptive paired summaries,partly,training seed,module-specific diagnostics; no causal attribution,after result review; local chronology only,partly result-informed,paper_outputs/analysis_working/multiplicity_registry.csv,python scripts/analyze_fixed_benchmark_evidence.py
