dgp,method,estimand,estimate,monte_carlo_se,event_count,exact_binomial_95_low,exact_binomial_95_high,simulations,bootstrap_repetitions_per_simulation,bootstrap_finite_p_floor,rng_seed,task_count,contrast_count,training_seed_levels,task_resampling,interpretation
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,family-wise null coverage over all 12 contrasts,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,centered bootstrap plus Holm12,family-wise null rejection probability,0.0,0.0,0.0,0.0,0.003682083896865671,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD001 rmse,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD001 nasa_per_engine,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD001 lpr30,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD002 rmse,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD002 nasa_per_engine,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD002 lpr30,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD003 rmse,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD003 nasa_per_engine,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD003 lpr30,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD004 rmse,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD004 nasa_per_engine,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,pointwise null coverage: FD004 lpr30,1.0,0.0,1000.0,0.9963179161031344,1.0,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
empirical midpoint swap-null with crossed seed and engine Rademacher signs,studentized max-t diagnostic envelope,mean bootstrap critical value,3.338337148488641,0.0024038035112400663,,,,1000,999,0.001,2026072701,4,12,5,none; FD001-FD004 are fixed,"calibration diagnostic, not confirmatory validation"
