artifact_id,release_path,schema_version,family_id,evidence_role,generator,generator_sha256,primary_key,source_path,source_sha256,release_sha256,row_count
primary-fixed-task-estimates,primary_fixed_task_estimates.csv,release-evidence-v1,E-FIXED-12,main result-informed fixed-benchmark estimation; not confirmatory,scripts/analyze_release_statistics.py,a198eee7060dfd3162bf6ac65b414e4cd02e1bb73b2f8ef8679f9a952fd37128,subset|metric,paper_outputs/analysis_working/primary_fixed_task_estimates.csv,2e215768bb4f446957f927c70f0d557b2f3239832ec24677aa24f2938a595da5,2e215768bb4f446957f927c70f0d557b2f3239832ec24677aa24f2938a595da5,12
primary-bootstrap-draws,primary_fixed_task_bootstrap_draws.npz,release-evidence-v1,E-FIXED-12,shared-draw diagnostic input,scripts/analyze_release_statistics.py,a198eee7060dfd3162bf6ac65b414e4cd02e1bb73b2f8ef8679f9a952fd37128,not applicable,paper_outputs/analysis_working/primary_fixed_task_bootstrap_draws.npz,d4f03aa102b6e149691eb180ae09db60379a71d92da6491e38210f4a96f5d7ff,d4f03aa102b6e149691eb180ae09db60379a71d92da6491e38210f4a96f5d7ff,
primary-seed-level-effects,primary_seed_level_effects.csv,release-evidence-v1,E-FIXED-12,seed-level paired diagnostic underlying Figure 2,scripts/analyze_fixed_benchmark_evidence.py,8656e909aed63e1d6ea5e595d6f7e9bcd6421c7c3f0858cab7a1e1e68810f520,not applicable,paper_outputs/analysis_working/primary_seed_level_effects.csv,84db32121c00080b70cafc1895ee2352dd0a059f07b446f228b5002771c6c459,84db32121c00080b70cafc1895ee2352dd0a059f07b446f228b5002771c6c459,60
fixed-transfer-aggregation,fixed_transfer_aggregation_summary.csv,release-evidence-v1,D-TRANSFER-AGG,descriptive fixed-task and engine-pooled aggregation sensitivity,scripts/analyze_fixed_benchmark_evidence.py,8656e909aed63e1d6ea5e595d6f7e9bcd6421c7c3f0858cab7a1e1e68810f520,scope|aggregation|metric,paper_outputs/analysis_working/fixed_transfer_aggregation_summary.csv,43369593a4ed15038c5657d4b6f802c9de7583859f48acf3abae4ac534d15a24,43369593a4ed15038c5657d4b6f802c9de7583859f48acf3abae4ac534d15a24,12
development-excluded-seed-effects,development_excluded_seed_effects.csv,release-evidence-v1,D-TRANSFER-AGG,FD001-FD003 task-wise and aggregation-wise seed effects,scripts/analyze_fixed_benchmark_evidence.py,8656e909aed63e1d6ea5e595d6f7e9bcd6421c7c3f0858cab7a1e1e68810f520,not applicable,paper_outputs/analysis_working/development_excluded_seed_effects.csv,959f97d7e45b5160c0ed4b6baf15182dc527ebc8231cbe507ac6deec4350fa57,959f97d7e45b5160c0ed4b6baf15182dc527ebc8231cbe507ac6deec4350fa57,75
preference-selection-stability,preference_selection_stability.csv,release-evidence-v1,D-PREFERENCE,validation-endpoint resampling diagnostic; same fitted candidates,scripts/analyze_preference_selection_stability.py,34faa2612f65720d104e4bb3875e48f4e3bd6b68afef2a4ac39f6f45e646f963,not applicable,paper_outputs/analysis_working/preference_selection_stability.csv,774e9158c3602fb8473bda25595c9a65ea12e060382746ed7f88ee502a835111,774e9158c3602fb8473bda25595c9a65ea12e060382746ed7f88ee502a835111,9
preference-selection-leave-one-out,preference_selection_leave_one_out.csv,release-evidence-v1,D-PREFERENCE,leave-one-validation-engine-out selection diagnostic,scripts/analyze_preference_selection_stability.py,34faa2612f65720d104e4bb3875e48f4e3bd6b68afef2a4ac39f6f45e646f963,not applicable,paper_outputs/analysis_working/preference_selection_leave_one_out.csv,3839729f2aff5f3612a313cdaad504ffcfd237986eda372f978472a8eb3f36f3,3839729f2aff5f3612a313cdaad504ffcfd237986eda372f978472a8eb3f36f3,9
preference-selection-oob-regret,preference_selection_oob_regret.csv,release-evidence-v1,D-PREFERENCE,out-of-bag endpoint-resampling regret diagnostic,scripts/analyze_preference_selection_stability.py,34faa2612f65720d104e4bb3875e48f4e3bd6b68afef2a4ac39f6f45e646f963,not applicable,paper_outputs/analysis_working/preference_selection_oob_regret.csv,f63a93fee63e88e08d09adeff1f4609bf4231650ab65f74d1d831fc942163709,f63a93fee63e88e08d09adeff1f4609bf4231650ab65f74d1d831fc942163709,10000
endpoint-tolerance-sensitivity,endpoint_tolerance_sensitivity.csv,release-evidence-v1,S-ENDPOINT-80,sensitivity analysis,scripts/analyze_release_statistics.py,a198eee7060dfd3162bf6ac65b414e4cd02e1bb73b2f8ef8679f9a952fd37128,subset|rul_threshold_tau|late_tolerance_epsilon,paper_outputs/analysis_working/endpoint_tolerance_sensitivity.csv,1a1da1bc1d82c9b98e339f648c3907759a562c0bf7ccdba0273cf8067c17ff06,1a1da1bc1d82c9b98e339f648c3907759a562c0bf7ccdba0273cf8067c17ff06,80
late-event-support,late_event_support.csv,release-evidence-v1,D-LATE-SUPPORT,descriptive denominator and event audit,scripts/analyze_release_statistics.py,a198eee7060dfd3162bf6ac65b414e4cd02e1bb73b2f8ef8679f9a952fd37128,subset|model|seed|rul_threshold_tau|late_tolerance_epsilon,paper_outputs/analysis_working/late_event_support.csv,b4a2c72a0c9f55b2449716cdeba5952477b92af9e54d629809f7c1a1a5a5c6f1,b4a2c72a0c9f55b2449716cdeba5952477b92af9e54d629809f7c1a1a5a5c6f1,800
small-cluster-calibration,small_cluster_calibration.csv,release-evidence-v1,E-FIXED-12,inferential limitation diagnostic,scripts/analyze_release_statistics.py,a198eee7060dfd3162bf6ac65b414e4cd02e1bb73b2f8ef8679f9a952fd37128,engine_count|seed_sd|method|estimand,paper_outputs/analysis_working/small_cluster_calibration.csv,e03940dec539b118af22d35fd5bc1748fc1e4b05501bce5564b52de51f7f7e13,e03940dec539b118af22d35fd5bc1748fc1e4b05501bce5564b52de51f7f7e13,16
